"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C3,C15,C16,C27,C29,C31,C33,C34","9","0.1u","","","","Capacitor_SMD:C_0201_0603Metric","~"
"C2,C4,C17,C18,C35,C36","6","10u","","","","Capacitor_SMD:C_1206_3216Metric","~"
"C5,C6,C23","3","1u","","","","Capacitor_THT:C_Radial_D6.3mm_H11.0mm_P2.50mm","~"
"C7,C8,C19","3","10u","","","","Capacitor_THT:C_Radial_D6.3mm_H11.0mm_P2.50mm","~"
"C9,C10","2","2.2n","","BOM(部品表)から除外","","Capacitor_THT:C_Rect_L7.2mm_W3.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2","~"
"C11,C13","2","4.7u","","BOM(部品表)から除外","","Capacitor_THT:C_Radial_D6.3mm_H11.0mm_P2.50mm","~"
"C12,C14,C22,C25","4","0.1u","","BOM(部品表)から除外","","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","~"
"C20","1","100u","","BOM(部品表)から除外","","Capacitor_THT:C_Radial_D10.0mm_H20.0mm_P5.00mm","~"
"C21","1","220u","","BOM(部品表)から除外","","Capacitor_THT:C_Radial_D10.0mm_H20.0mm_P5.00mm","~"
"C24","1","22u","","BOM(部品表)から除外","","Capacitor_THT:C_Radial_D6.3mm_H11.0mm_P2.50mm","~"
"C26","1","0.22u","","BOM(部品表)から除外","","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","~"
"C28,C30,C32,C37,C38,C39,C40","7","1u","","","","Capacitor_SMD:C_0805_2012Metric","~"
"D1,D2,D3,D4","4","1N5819","","","","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","http://www.vishay.com/docs/88525/1n5817.pdf"
"D5,D6","2","1N4007","DNP","","","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","http://www.vishay.com/docs/88503/1n4001.pdf"
"D7","1","LED","DNP","","","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~"
"FB1","1","FerriteBead","","","","Inductor_SMD:L_Walsin_WLFM252009x","~"
"J1","1","input jack (line)","","BOM(部品表)から除外","","simplejackwithpinheader:simplejackwithpinheader","~"
"J2","1","input jack (piezo)","","BOM(部品表)から除外","","simplejackwithpinheader","~"
"J3","1","output jack (line)","","BOM(部品表)から除外","","simplejackwithpinheader","~"
"J4","1","output jack (spk)","","BOM(部品表)から除外","","simplejackwithpinheader","~"
"J6","1","Conn_02x08_Odd_Even","","BOM(部品表)から除外","","Connector_PinHeader_2.54mm:PinHeader_2x08_P2.54mm_Vertical","~"
"R1,R2","2","150","","","","Resistor_SMD:R_0805_2012Metric","~"
"R3,R4,R5,R6,R7,R8,R9,R10,R17","9","10k","","","","Resistor_SMD:R_0805_2012Metric","~"
"R11","1","100k","","","","Resistor_SMD:R_0805_2012Metric","~"
"R12","1","22k","","","","Resistor_SMD:R_0805_2012Metric","~"
"R13","1","680","","","","Resistor_SMD:R_0805_2012Metric","~"
"R14","1","1","","","","Resistor_SMD:R_0805_2012Metric","~"
"R15","1","13k","","","","Resistor_SMD:R_0805_2012Metric","~"
"R16","1","5k","","","","Resistor_SMD:R_0805_2012Metric","~"
"R18","1","2","","","","Resistor_SMD:R_0805_2012Metric","~"
"RV1,RV2,RV3,RV4,RV5","5","R_Potentiometer","DNP","","","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~"
"SW1","1","SW_DPST","DNP","","","Connector_PinHeader_2.00mm:PinHeader_2x02_P2.00mm_Vertical","~"
"U1","1","Teensy4.0","DNP","","","Teensy:Teensy40",""
"U2,U3,U5","3","TL072","DNP","","","MyLibrary:TL072","http://www.ti.com/lit/ds/symlink/tl071.pdf"
"U4","1","TDA2030","DNP","","","Package_TO_SOT_THT:TO-220-5_P3.4x3.7mm_StaggerOdd_Lead3.8mm_Vertical","http://www.st.com/resource/en/datasheet/cd00000128.pdf"
"VM4220M1","1","~","DNP","","","MyLibrary:V4220M",""
